Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
419,fr,diff,5101.493509900058,0.6693704999634065,12345,4000.0,0.5,8000.0,0.5,0.9
420,fr,diff,5104.475116300047,0.830548900004942,12345,4000.0,0.5,8000.0,0.5,0.9
421,fr,same,5107.671339200053,5.111691600002814,12345,4000.0,0.5,4000.0,0.5,0.9
422,fr,same,5115.056229700043,0.8122319999965839,12345,4000.0,0.5,8000.0,0.5,0.9
423,fr,same,5122.177551600034,13.267733499989845,12345,4000.0,0.5,4000.0,0.5,0.9
424,fr,same,5137.713674100058,0.8304111999459565,12345,4000.0,0.5,4000.0,0.5,0.9
425,fr,same,5140.839144000027,0.891045700001996,12345,4000.0,0.5,8000.0,0.5,0.9
426,fr,same,5147.989236400055,4.900473799963947,12345,4000.0,0.5,8000.0,0.5,0.9
427,fr,diff,5159.143875500013,0.6399610000080429,12345,4000.0,0.5,8000.0,0.5,0.9
428,fr,diff,5162.094742800051,0.6397155000013299,12345,4000.0,0.5,4000.0,0.5,0.9
429,fr,diff,5169.0411874000565,0.587427899998147,12345,4000.0,0.5,4000.0,0.5,0.9
430,fr,same,5175.9179764,1.0135382000007667,12345,4000.0,0.5,4000.0,0.5,0.9
431,fr,same,5179.257833800046,0.7193593999836594,12345,4000.0,0.5,8000.0,0.5,0.9
432,fr,same,5186.250416200026,0.7896126999985427,12345,4000.0,0.5,4000.0,0.5,0.9
433,fr,same,5189.299691900029,0.6986246000160463,12345,4000.0,0.5,8000.0,0.5,0.9
434,fr,diff,5196.256687500048,0.5893746999790892,12345,4000.0,0.5,8000.0,0.5,0.9
435,fr,diff,5199.133016400039,0.5568176999804564,12345,4000.0,0.5,4000.0,0.5,0.9
436,fr,diff,5205.966226700053,0.6176714999601245,12345,4000.0,0.5,4000.0,0.5,0.9
437,fr,diff,5212.883119800012,0.8921666000387631,12345,4000.0,0.5,8000.0,0.5,0.9
438,fr,diff,5216.043790500029,0.5488805000204593,12345,4000.0,0.5,4000.0,0.5,0.9
439,fr,diff,5222.911304900015,2.6952514000004157,12345,4000.0,0.5,4000.0,0.5,0.9
440,fr,diff,5231.9154579000315,0.8709360000211746,12345,4000.0,0.5,8000.0,0.5,0.9
441,fr,diff,5235.046032600047,0.7190609999815933,12345,4000.0,0.5,8000.0,0.5,0.9
442,fr,diff,5238.098522900022,0.5985849000280723,12345,4000.0,0.5,4000.0,0.5,0.9
443,fr,same,5244.968939900049,0.8003822999889962,12345,4000.0,0.5,8000.0,0.5,0.9
444,fr,same,5252.026465100003,0.7591736000031233,12345,4000.0,0.5,8000.0,0.5,0.9
445,fr,same,5259.055103600025,0.8804048000019975,12345,4000.0,0.5,4000.0,0.5,0.9
446,fr,diff,5262.216132200032,0.5365394999971613,12345,4000.0,0.5,8000.0,0.5,0.9
447,fr,diff,5265.047948100022,1.4560995000065304,12345,4000.0,0.5,4000.0,0.5,0.9
448,fr,diff,5272.805010700016,0.6498880999861285,12345,4000.0,0.5,4000.0,0.5,0.9
449,fr,diff,5279.710508700053,0.7188331999932416,12345,4000.0,0.5,8000.0,0.5,0.9
450,fr,diff,5282.718289300043,0.6100830999785103,12345,4000.0,0.5,4000.0,0.5,0.9
451,fr,diff,5289.625123100006,0.6075923000462353,12345,4000.0,0.5,4000.0,0.5,0.9
452,fr,diff,5296.489100400009,0.597094900032971,12345,4000.0,0.5,8000.0,0.5,0.9
453,fr,diff,5299.377472100023,0.5773556000203826,12345,4000.0,0.5,8000.0,0.5,0.9
454,fr,same,5302.2160843000165,1.3810523999854922,12345,4000.0,0.5,4000.0,0.5,0.9
455,fr,same,5305.8562179,0.8101472000125796,12345,4000.0,0.5,8000.0,0.5,0.9
456,fr,diff,5312.944478800055,0.6394120999611914,12345,4000.0,0.5,8000.0,0.5,0.9
457,fr,same,5315.845776900009,4.941923700040206,12345,4000.0,0.5,8000.0,0.5,0.9
458,fr,diff,5327.105967900017,2.399430299992673,12345,4000.0,0.5,8000.0,0.5,0.9
459,fr,same,5331.7952401000075,0.9321552000474185,12345,4000.0,0.5,4000.0,0.5,0.9
460,fr,same,5335.018478600017,4.200408300035633,12345,4000.0,0.5,4000.0,0.5,0.9
461,fr,same,5341.502220000024,0.801806100003887,12345,4000.0,0.5,4000.0,0.5,0.9
462,fr,same,5344.569114400016,2.712135699985083,12345,4000.0,0.5,4000.0,0.5,0.9
463,fr,same,5349.545958200004,0.731378800002858,12345,4000.0,0.5,8000.0,0.5,0.9
464,fr,same,5356.557469100051,0.9023828999488614,12345,4000.0,0.5,4000.0,0.5,0.9
465,fr,same,5359.757813100005,0.7799489000462927,12345,4000.0,0.5,8000.0,0.5,0.9
466,fr,diff,5366.789545800013,2.5115209000068717,12345,4000.0,0.5,8000.0,0.5,0.9
467,fr,same,5371.625140800024,0.7389458999969065,12345,4000.0,0.5,4000.0,0.5,0.9
468,fr,same,5374.641848700005,0.7512126000365242,12345,4000.0,0.5,8000.0,0.5,0.9
469,fr,same,5381.642974900024,0.8312313000205904,12345,4000.0,0.5,4000.0,0.5,0.9
470,fr,diff,5384.748832100013,0.5874390000244603,12345,4000.0,0.5,8000.0,0.5,0.9
471,fr,diff,5387.590054700035,0.628105100011453,12345,4000.0,0.5,8000.0,0.5,0.9
472,fr,same,5390.594536500052,0.8012412999523804,12345,4000.0,0.5,4000.0,0.5,0.9
473,fr,diff,5393.693000000028,0.6281590000144206,12345,4000.0,0.5,4000.0,0.5,0.9
474,fr,diff,5400.575012100046,1.0230301999836229,12345,4000.0,0.5,4000.0,0.5,0.9
475,fr,diff,5407.869290200004,0.7419273999985307,12345,4000.0,0.5,8000.0,0.5,0.9
476,fr,diff,5410.870416800026,0.5770109000150114,12345,4000.0,0.5,4000.0,0.5,0.9
477,fr,diff,5417.708140200004,0.5588488000212237,12345,4000.0,0.5,8000.0,0.5,0.9
478,fr,diff,5420.543029000051,0.7812399999820627,12345,4000.0,0.5,4000.0,0.5,0.9
479,fr,diff,5427.573464900022,0.6281262999982573,12345,4000.0,0.5,8000.0,0.5,0.9
480,fr,diff,5430.46819090005,0.5366208999766968,12345,4000.0,0.5,8000.0,0.5,0.9
481,fr,diff,5433.26468240004,0.7490407999721356,12345,4000.0,0.5,4000.0,0.5,0.9
482,fr,diff,5440.286163400044,0.5779676999663934,12345,4000.0,0.5,8000.0,0.5,0.9
483,fr,diff,5443.149840700033,0.7621020000078715,12345,4000.0,0.5,4000.0,0.5,0.9
484,fr,diff,5450.201167200052,0.6003872999572195,12345,4000.0,0.5,8000.0,0.5,0.9
485,fr,diff,5453.181334000023,0.6406639000051655,12345,4000.0,0.5,4000.0,0.5,0.9
486,fr,diff,5460.075058300048,0.5672261999570765,12345,4000.0,0.5,8000.0,0.5,0.9
